source_id|source|source_column|name|azt_id
13074|IMPACT|TRIAL_ALIAS_CODE|D6874L00021|D6874L00021
13073|IMPACT|TRIAL_ALIAS_CODE|IRUSIRES0413|
13982|IMPACT|TRIAL_ALIAS_CODE|D144100036|D144100036
13934|IMPACT|TRIAL_ALIAS_CODE|D0880C00007|D0880C00007
15172|IMPACT|TRIAL_ALIAS_CODE|D2330C00001|D2330C00001
15171|IMPACT|TRIAL_ALIAS_CODE|D0840C00009|D0840C00009
15166|IMPACT|TRIAL_ALIAS_CODE|D3801C00004|D3801C00004
15165|IMPACT|TRIAL_ALIAS_CODE|D1250C00056|D1250C00056
15164|IMPACT|TRIAL_ALIAS_CODE|D5890L00032|D5890L00032
15163|IMPACT|TRIAL_ALIAS_CODE|D3550C00008|D3550C00008
13843|IMPACT|TRIAL_ALIAS_CODE|D9617C00022|D9617C00022
13834|IMPACT|TRIAL_ALIAS_CODE|D3100C00002|D3100C00002
13386|IMPACT|TRIAL_ALIAS_CODE|D4200C00061|D4200C00061
10227|IMPACT|TRIAL_ALIAS_CODE|D5396C00040|D5396C00040
10212|IMPACT|TRIAL_ALIAS_CODE|D9612L00039|D9612L00039
10211|IMPACT|TRIAL_ALIAS_CODE|MA-NEH-0001|MA-NEH-0001
10210|IMPACT|TRIAL_ALIAS_CODE|EV-NEH-0001|EV-NEH-0001
10209|IMPACT|TRIAL_ALIAS_CODE|D9612L00033|D9612L00033
10208|IMPACT|TRIAL_ALIAS_CODE|LH-NEG-0024|D9612L00071
10207|IMPACT|TRIAL_ALIAS_CODE|LH-NEG-0023|D9612L00070
10691|IMPACT|TRIAL_ALIAS_CODE|IRUSOMEP0245|
10689|IMPACT|TRIAL_ALIAS_CODE|IRUSOMEP0242|
12196|IMPACT|TRIAL_ALIAS_CODE|BE-039-0002|BE-039-0002
12195|IMPACT|TRIAL_ALIAS_CODE|BE-039-0001|BE-039-0001
12194|IMPACT|TRIAL_ALIAS_CODE|ARIMIDEX NP|
2428|IMPACT|TRIAL_ALIAS_CODE|2428|
10321|IMPACT|TRIAL_ALIAS_CODE|LH-AHM-0022|D2455L00009
10317|IMPACT|TRIAL_ALIAS_CODE|CHW-MDP-006|CHW-MDP-006
10316|IMPACT|TRIAL_ALIAS_CODE|CHW-MDP-005|CHW-MDP-005
10315|IMPACT|TRIAL_ALIAS_CODE|1839IL/0528|D7913L00528
10314|IMPACT|TRIAL_ALIAS_CODE|D1510M00003|D1510M00003
10226|IMPACT|TRIAL_ALIAS_CODE|D5393C00040|D5393C00040
10225|IMPACT|TRIAL_ALIAS_CODE|9238IL/0049|D6995C00049
10224|IMPACT|TRIAL_ALIAS_CODE|9238UK/0005|
10221|IMPACT|TRIAL_ALIAS_CODE|D3560L00003|D3560L00003
10218|IMPACT|TRIAL_ALIAS_CODE|SP-NON-0022|D0480C01803
10217|IMPACT|TRIAL_ALIAS_CODE|CHW-MDP-004|CHW-MDP-004
10972|IMPACT|TRIAL_ALIAS_CODE|04-9247|04-9247
12204|IMPACT|TRIAL_ALIAS_CODE|D5896C00001|D5896C00001
12202|IMPACT|TRIAL_ALIAS_CODE|BN-00D-0047|BN-00D-0047
12201|IMPACT|TRIAL_ALIAS_CODE|4522HO/0004|
9804|IMPACT|TRIAL_ALIAS_CODE|SH-AHM-0013|D2455C00013
9791|IMPACT|TRIAL_ALIAS_CODE|CAMP|CAMP
9790|IMPACT|TRIAL_ALIAS_CODE|92-FP-55|
9789|IMPACT|TRIAL_ALIAS_CODE|SP-ROA-0015|D0311C00015
9787|IMPACT|TRIAL_ALIAS_CODE|SA-CMZ-0010|D2282C00010
10312|IMPACT|TRIAL_ALIAS_CODE|1839IL/0526|D7913L00526
10310|IMPACT|TRIAL_ALIAS_CODE|1839IL/0524|D7913L00524
10309|IMPACT|TRIAL_ALIAS_CODE|1839IL/0523|D7913L00523
10307|IMPACT|TRIAL_ALIAS_CODE|1839IL/0521|D7913L00521
10306|IMPACT|TRIAL_ALIAS_CODE|1839IL/0520|D7913L00520
10305|IMPACT|TRIAL_ALIAS_CODE|1839IL/0519|D7913L00519
10304|IMPACT|TRIAL_ALIAS_CODE|1839IL/0518|D7913L00518
10971|IMPACT|TRIAL_ALIAS_CODE|04-9246|04-9246
10970|IMPACT|TRIAL_ALIAS_CODE|04-9245|04-9245
10969|IMPACT|TRIAL_ALIAS_CODE|04-9244|04-9244
10968|IMPACT|TRIAL_ALIAS_CODE|04-9243|04-9243
10967|IMPACT|TRIAL_ALIAS_CODE|04-9240|04-9240
10965|IMPACT|TRIAL_ALIAS_CODE|04-9238|04-9238
10964|IMPACT|TRIAL_ALIAS_CODE|04-9237|04-9237
10963|IMPACT|TRIAL_ALIAS_CODE|04-9235|04-9235
9803|IMPACT|TRIAL_ALIAS_CODE|305|
9802|IMPACT|TRIAL_ALIAS_CODE|SD-065-0723|SD-065-0723
9801|IMPACT|TRIAL_ALIAS_CODE|PS-223|PS-223
9800|IMPACT|TRIAL_ALIAS_CODE|SA-M27-0002|D2281C00002
12200|IMPACT|TRIAL_ALIAS_CODE|4522HO/0002|D3562L00006
12198|IMPACT|TRIAL_ALIAS_CODE|1839IL/0562|D7913L00015
9786|IMPACT|TRIAL_ALIAS_CODE|SA-CMZ-0009|D2282C00009
9785|IMPACT|TRIAL_ALIAS_CODE|SA-CMZ-0011|D2282C00011
9784|IMPACT|TRIAL_ALIAS_CODE|AH-TCV-EC614|AH-TCV-EC614
